comp_name,exp_req,job_desp,job_desp_page,job_title,key_skills,loc,sal
Innefu Labs Pvt. Ltd.,4-6 yrs, Responsibilities      Translate application storyboards and use cases into ...,https://www.naukri.com/job-listings-Full-Stack-Java-Developer-Innefu-Labs-Pvt-Ltd-Delhi-4-to-6-years-011018902361?src=jobsearchDesk&sid=1538417896860&xp=30&px=1,Full Stack Java Developer,"Spring Boot, Java, Rest, SOAP, Spring Mvc, Web Services, SQL...",Delhi,  Not disclosed 
HR SYNERGY,8-11 yrs,- Flexible to work in different time zones and travel as required;- Proficient in using statistical ...,https://www.naukri.com/job-listings-Assistant-Manager-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Kerala-8-to-11-years-290818901989?src=jobsearchDesk&sid=1538417896860&xp=31&px=1,Assistant Manager - Data Analytics - Big4,"SQL, Excel, Javascript, XML, SAS, SPSS, Data Analytics, People Skills...","Gurgaon, Kerala",  Not disclosed 
HuQuo,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-Domain-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-2-to-5-years-230818900443?src=jobsearchDesk&sid=1538417896860&xp=32&px=1,Business Analyst/senior Business Analyst - Data Analytics- BFSI Domain,"Business Analysis, Excel, Data Analytics, SAS, VBA, Problem Solving...","Delhi NCR, Bengaluru, Gurgaon",  Not disclosed 
HR SYNERGY,5-10 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,https://www.naukri.com/job-listings-Senior-Associate-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Trivandrum-5-to-10-years-140818900615?src=jobsearchDesk&sid=1538417896860&xp=33&px=1,Senior Associate Data Analytics - Big4,"auditing, data analytics, process improvement, Analytics, SQL, SSIS, SSRS...","Gurgaon, Trivandrum",  Not disclosed 
Destination HR,10-20 yrs,N/A,https://www.naukri.com/job-listings-Vice-President-V-Data-Analytics-Destination-HR-Mumbai-Delhi-NCR-Bengaluru-10-to-20-years-200918000679?src=jobsearchDesk&sid=1538417896860&xp=34&px=1,Vice President (V) - Data Analytics,"data analytics, data modeling, data mining, data extraction, senior analyst...","Mumbai, Delhi NCR, Bengaluru",  Not disclosed 
SLA Consultants India,0-5 yrs,N/A,https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-BI-SAS-R-Python-RPA-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-300818000391?src=jobsearchDesk&sid=1538417896860&xp=35&px=1,DATA Analytics / DATA Science / Analyst - BI / SAS / R / Python / RPA,"data Analyst, reporting analyst, SAS, statistics, sas programmer...","Delhi NCR, Gurgaon, Noida","    2,00,000 - 4,25,000 P.A.  "
Next Step Services Private Limited,3-5 yrs,"Hands-on experience in model building - logistic, liner regression, time series & behavior ...",https://www.naukri.com/job-listings-Data-Analytics-data-Miner-US-Healthcare-Domain-UK-Shift-Next-Step-Services-Private-Limited-Gurgaon-3-to-5-years-210818007692?src=jobsearchDesk&sid=1538417896860&xp=36&px=1,Data Analytics/data Miner US Healthcare Domain/ UK Shift,"Advanced Excel, Data Analysis, Time Series, Data Mining, SAS...",Gurgaon,  Not disclosed 
AASTHA CONSTRUCTIONS,1-5 yrs,N/A,https://www.naukri.com/job-listings-Data-Analyst-AASTHA-CONSTRUCTIONS-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-1-to-5-years-300918001881?src=jobsearchDesk&sid=1538417896860&xp=37&px=1,Data Analyst,"Data Analysis, Data Analytics, Data Collection, data recovery, data backup,...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    3,25,000 - 8,25,000 P.A. Best in all the Industry, Medi...  "
HuQuo Consulting Pvt. Ltd.,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-HuQuo-Consulting-Pvt-Ltd-Delhi-NCR-2-to-5-years-210818001201?src=jobsearchDesk&sid=1538417896860&xp=38&px=1,Business Analyst/senior Business Analyst - Data Analytics - BFSI,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, SAS,...",Delhi NCR,  Not disclosed 
Live connections,2-6 yrs,N/A,https://www.naukri.com/job-listings-Immediate-Opening-for-Data-Analytics-MNC-Live-connections-Bengaluru-Hyderabad-Mumbai-Delhi-NCR-2-to-6-years-210918007989?src=jobsearchDesk&sid=1538417896860&xp=39&px=1,Immediate Job Opening for Data Analytics @ MNC,"data analytics, sql, R, PYTHON, Machine Learning","Bengaluru, Hyderabad, Mumbai, Delhi NCR","    1,25,000 - 6,25,000 P.A.  "
